iter	Passed	Remaining
0	56	337694
1	75	225469
2	132	264911
3	144	217220
4	200	240552
5	255	254779
6	293	251245
7	324	243248
8	385	256554
9	440	264007
10	458	249787
11	477	238240
12	535	246557
13	574	245657
14	628	250911
15	685	256319
16	715	251986
17	733	243876
18	791	249292
19	848	253799
20	905	257848
21	930	252885
22	984	255908
23	996	248026
24	1054	252010
25	1110	255117
26	1157	255972
27	1173	250248
28	1229	253188
29	1260	250902
30	1271	244883
31	1327	247540
32	1351	244336
33	1406	246803
34	1437	244913
35	1477	244742
36	1534	247338
37	1552	243509
38	1582	241910
39	1595	237677
40	1606	233538
41	1639	232564
42	1697	235108
43	1709	231399
44	1757	232576
45	1816	235119
46	1846	233925
47	1870	231942
48	1881	228539
49	1892	225220
50	1903	222069
51	1927	220476
52	1947	218565
53	2010	221326
54	2064	223197
55	2101	223060
56	2161	225339
57	2199	225349
58	2256	227170
59	2312	228916
60	2359	229747
61	2370	227057
62	2434	229379
63	2468	228939
64	2525	230587
65	2537	228174
66	2595	229881
67	2654	231563
68	2685	230827
69	2696	228426
70	2702	225709
71	2718	223849
72	2779	225673
73	2836	227114
74	2892	228491
75	2925	228055
76	2982	229414
77	3040	230854
78	3103	232587
79	3159	233769
80	3176	232107
81	3235	233477
82	3294	234853
83	3353	236150
84	3414	237607
85	3477	239140
86	3536	240368
87	3593	241387
88	3655	242783
89	3661	240468
90	3673	238511
91	3731	239596
92	3783	240332
93	3805	239109
94	3817	237271
95	3877	238473
96	3938	239701
97	4003	241087
98	4061	242114
99	4073	240340
100	4132	241338
101	4195	242593
102	4253	243528
103	4271	242183
104	4328	243030
105	4387	243972
106	4447	244961
107	4506	245833
108	4566	246774
109	4577	245115
110	4638	246112
111	4698	247016
112	4715	245682
113	4774	246515
114	4836	247528
115	4896	248382
116	4959	249398
117	5025	250512
118	5088	251495
119	5150	252382
120	5174	251389
121	5207	250891
122	5271	251877
123	5337	252944
124	5398	253747
125	5456	254395
126	5514	255034
127	5574	255713
128	5629	256207
129	5691	257000
130	5747	257485
131	5812	258372
132	5879	259372
133	5939	260005
134	5998	260610
135	6061	261358
136	6122	261998
137	6184	262715
138	6250	263563
139	6315	264335
140	6332	263120
141	6391	263664
142	6453	264327
143	6522	265253
144	6586	265959
145	6651	266680
146	6714	267329
147	6782	268174
