iter	MultiClass
0	1.081631742
1	1.065416146
2	1.050642399
3	1.036564451
4	1.023465763
5	1.011908885
6	1.000459866
7	0.9897284242
8	0.9796507323
9	0.9702177851
10	0.9613529713
11	0.9531451929
12	0.9452876244
13	0.9379018359
14	0.931031638
15	0.9243906277
16	0.9181375735
17	0.9123610845
18	0.9068665114
19	0.9016684868
20	0.8967026474
21	0.8921166563
22	0.8877550695
23	0.8836360338
24	0.879792536
25	0.8761817802
26	0.8726018993
27	0.8692017086
28	0.8661615107
29	0.863293085
30	0.8604642842
31	0.8578810246
32	0.8553991799
33	0.8529833045
34	0.850817904
35	0.8486140384
36	0.8465514111
37	0.8447323143
38	0.8431227671
39	0.841456181
40	0.8396553316
41	0.8381352545
42	0.8370534448
43	0.8355886255
44	0.8342258724
45	0.8328471789
46	0.8315466538
47	0.8303432873
48	0.8291796684
49	0.8280965872
50	0.8270114032
51	0.8260396892
52	0.8249410985
53	0.8242112351
54	0.8234141691
55	0.8225143849
56	0.8215455077
57	0.8206628015
58	0.820071416
59	0.8193256323
60	0.8185285883
61	0.8178856711
62	0.8173178961
63	0.816839627
64	0.8161464558
65	0.8156923998
66	0.8147768986
67	0.814122829
68	0.8136569381
69	0.8132768909
70	0.8128274064
71	0.8121878477
72	0.81190306
73	0.8114243755
74	0.8109896578
75	0.8106944827
76	0.810305178
77	0.8098757435
78	0.8095408439
79	0.8091107873
80	0.8088219189
81	0.8087035462
82	0.8084601877
83	0.80796868
84	0.8075807166
85	0.807370527
86	0.8068029434
87	0.8065932599
88	0.806454039
89	0.8059142203
90	0.8058436515
91	0.8056163196
92	0.8054216353
93	0.8052667239
94	0.8049539692
95	0.8046374288
96	0.8044197483
97	0.8041633525
98	0.8039190328
99	0.8037491746
100	0.8034796036
101	0.8033668947
102	0.8030914458
103	0.8027284307
104	0.8025471838
105	0.8025178855
106	0.8019791182
107	0.8016819334
108	0.8016332425
109	0.8014824478
110	0.8010147958
111	0.8008784538
112	0.800804563
113	0.8005104937
114	0.8003147769
115	0.8001591819
116	0.8000670473
117	0.7998663169
118	0.799740711
119	0.7995956564
120	0.7994439695
121	0.7993887029
122	0.7991320743
123	0.7990567418
124	0.7987902512
125	0.7986461236
126	0.7984820467
127	0.798342275
128	0.7982362975
129	0.7979735467
130	0.797956305
131	0.7976178597
132	0.7971917279
133	0.7970760058
134	0.7967968185
135	0.7967438155
136	0.7966416565
137	0.7964795766
138	0.7962902919
139	0.7961965375
140	0.795956766
141	0.7954970956
142	0.7954872111
143	0.7953423398
144	0.7951755724
145	0.7949222102
146	0.7947589244
147	0.7947134559
148	0.7945345336
149	0.7945268645
150	0.7944065261
151	0.7942197135
152	0.7940046231
153	0.793917867
154	0.7937935956
155	0.7937229283
156	0.7936246176
157	0.7934105216
158	0.7933041386
159	0.7930697637
160	0.7930540553
161	0.7928868242
162	0.7927653938
163	0.7924375064
164	0.7922625857
165	0.7920901305
166	0.7918688898
167	0.7913995805
168	0.7912886077
169	0.791051785
170	0.7909782887
171	0.7908799718
172	0.7907346382
173	0.7903602422
174	0.790248616
175	0.7900676938
176	0.7899749117
177	0.7898602094
178	0.789760091
179	0.7896041004
180	0.7892769554
181	0.7891762113
182	0.7889401039
183	0.7888012256
184	0.7886044885
185	0.7884527117
186	0.7880513582
187	0.7879417559
188	0.7879348064
189	0.7877132529
190	0.787704596
191	0.7877033678
192	0.7875026468
193	0.7874888783
194	0.7872587086
195	0.7871345026
196	0.7869970614
197	0.7869659043
198	0.7868386757
199	0.7862151333
200	0.7861886603
201	0.7861692196
202	0.7860272092
203	0.7858095415
204	0.7857469301
205	0.7853498082
206	0.7851361528
207	0.7850355087
208	0.7847966474
209	0.7847846035
210	0.7847277914
211	0.7846424946
212	0.7846168451
213	0.7845973553
214	0.7842996119
215	0.7841306948
216	0.7839123437
217	0.7837482664
218	0.7834020095
219	0.7833026876
220	0.7831644698
221	0.7829119925
222	0.7827619301
223	0.7827227924
224	0.7825336693
225	0.7823479446
226	0.7821967528
227	0.7820274478
228	0.7818961102
229	0.7818884533
230	0.7815275268
231	0.78141075
232	0.7813513492
233	0.7811756359
234	0.7810078736
235	0.7807933453
236	0.78040182
237	0.7800229497
238	0.7799013846
239	0.779544416
240	0.7793829259
241	0.7791288198
242	0.7789753831
243	0.7788295965
244	0.7787321623
245	0.7785521032
246	0.7785097395
247	0.7781929433
248	0.7780453058
249	0.7779782872
250	0.7779490709
251	0.7777151912
252	0.7776653781
253	0.7775456142
254	0.7774211957
255	0.7773328533
256	0.7771753388
257	0.7771457313
258	0.7770386496
259	0.7766934783
260	0.7766407297
261	0.7764270092
262	0.7761918502
263	0.7760432676
264	0.7758138644
265	0.7758117288
266	0.7757039601
267	0.7755006265
268	0.7754099412
269	0.7752840571
270	0.7752013013
271	0.7750717539
272	0.774990395
273	0.7749169026
274	0.7748024721
275	0.7746318914
276	0.7744820399
277	0.7741710105
278	0.774129833
279	0.7740455423
280	0.7736425611
281	0.7735644673
282	0.7733524391
283	0.7732553102
284	0.7730118749
285	0.7729575904
286	0.7725021989
287	0.7721937104
288	0.7719564283
289	0.7716765535
290	0.7716393797
291	0.7714266155
292	0.7713293152
293	0.771152164
294	0.7709811356
295	0.7707792703
296	0.7706634002
297	0.7705477518
298	0.7704787834
299	0.7703825481
300	0.7703438716
301	0.7702614653
302	0.7702276571
303	0.7701539778
304	0.7700816649
305	0.7700383277
306	0.7698590492
307	0.7697699222
308	0.7697699185
309	0.7697067137
310	0.769497872
311	0.7693223218
312	0.7691414825
313	0.768870197
314	0.7685667326
315	0.7685069366
316	0.7685044448
317	0.7684907821
318	0.7683616985
319	0.768250841
320	0.7681729154
321	0.7679420596
322	0.7676641274
323	0.7674967319
324	0.7674480816
325	0.7673411442
326	0.7672621986
327	0.7672076211
328	0.767183597
329	0.7671575199
330	0.7669401408
331	0.7667785721
332	0.7662528962
333	0.7658711113
334	0.7655739955
335	0.7652283013
336	0.7649962644
337	0.7648559411
338	0.7647345534
339	0.7644536386
340	0.7641853012
341	0.7640459613
342	0.7638336884
343	0.763751995
344	0.7635533893
345	0.7632000501
346	0.7631251862
347	0.7629419991
348	0.7628416235
349	0.7625633746
350	0.7622743957
351	0.7621553345
352	0.7619161255
353	0.7618313303
354	0.7617488914
355	0.7616927559
356	0.7615637605
357	0.7614640553
358	0.7612661286
359	0.7608965368
360	0.7607747339
361	0.7605535709
362	0.7602921519
363	0.7602051605
364	0.7600390443
365	0.7598477663
366	0.7597857117
367	0.7595931357
368	0.759514907
369	0.7590867838
370	0.7589370528
371	0.7586983033
372	0.7583834343
373	0.7581217172
374	0.7580217115
375	0.7578000298
376	0.7575405549
377	0.7573511051
378	0.7572296242
379	0.757194028
380	0.7571419962
381	0.7569047311
382	0.7567313046
383	0.7562267654
384	0.7560683237
385	0.7557643104
386	0.7555925001
387	0.7554469927
388	0.75522943
389	0.7550384729
390	0.7545835175
391	0.7542783407
392	0.7539865763
393	0.753817293
394	0.7536924871
395	0.7536218546
396	0.7529889855
397	0.752809305
398	0.7526282955
399	0.7525479515
400	0.752424016
401	0.7521657016
402	0.7518816617
403	0.7517567294
404	0.7515218107
405	0.7513190401
406	0.7510164118
407	0.7507784652
408	0.7504122555
409	0.7501004038
410	0.750037735
411	0.7498440407
412	0.7495772223
413	0.7494513586
414	0.7493365732
415	0.7491463788
416	0.7490606475
417	0.7488489093
418	0.7483246814
419	0.7481557737
420	0.7478574341
421	0.7477402473
422	0.7476329506
423	0.7474201011
424	0.7469249177
425	0.7468629524
426	0.7466397409
427	0.7464871998
428	0.7461807543
429	0.7460816632
430	0.7459847395
431	0.7455491578
432	0.7450849458
433	0.7446798488
434	0.7445271749
