iter	Passed	Remaining
401	16274	24209
402	16334	24197
403	16375	24157
404	16431	24139
405	16471	24098
406	16513	24059
407	16554	24020
408	16594	23979
409	16632	23934
410	16672	23893
411	16713	23853
412	16758	23818
413	16800	23780
414	16853	23757
415	16894	23717
416	16936	23678
417	16979	23641
418	17020	23600
419	17060	23559
420	17098	23516
421	17137	23472
422	17177	23430
423	17217	23389
424	17257	23348
425	17296	23306
426	17337	23264
427	17375	23221
428	17413	23177
429	17452	23135
430	17490	23091
431	17531	23050
432	17570	23007
433	17609	22965
434	17650	22925
435	17690	22884
436	17729	22841
437	17769	22800
438	17809	22759
439	17849	22718
440	17892	22679
441	17934	22641
442	18021	22658
443	18060	22615
444	18100	22574
445	18144	22538
446	18198	22513
447	18239	22473
448	18276	22428
449	18316	22386
450	18356	22345
451	18395	22302
452	18436	22261
453	18477	22221
454	18518	22180
455	18557	22138
456	18597	22097
457	18638	22056
458	18679	22016
459	18720	21976
460	18774	21951
461	18814	21909
462	18855	21869
463	18897	21829
464	18939	21790
465	18982	21752
466	19037	21728
467	19079	21689
468	19121	21648
469	19162	21608
470	19206	21571
471	19245	21529
472	19286	21487
473	19327	21447
474	19369	21407
475	19409	21367
476	19450	21326
477	19505	21301
478	19553	21268
479	19593	21226
480	19634	21185
481	19674	21143
482	19714	21102
483	19755	21061
484	19797	21022
485	19836	20979
486	19890	20952
487	19932	20912
488	19976	20874
489	20029	20847
490	20069	20805
491	20110	20764
492	20150	20722
493	20186	20677
494	20227	20636
495	20269	20596
496	20310	20556
497	20351	20514
498	20392	20473
499	20445	20445
500	20491	20409
501	20555	20391
502	20595	20349
503	20657	20329
504	20698	20288
505	20740	20248
506	20780	20206
507	20821	20165
508	20863	20125
509	20905	20085
510	20961	20058
511	21003	20018
512	21044	19977
513	21114	19964
514	21158	19926
515	21198	19884
516	21240	19843
517	21279	19800
518	21325	19763
519	21384	19739
520	21423	19696
521	21462	19652
522	21501	19610
523	21541	19567
524	21581	19526
525	21620	19483
526	21660	19440
527	21713	19410
528	21753	19368
529	21793	19326
530	21833	19284
531	21873	19242
532	21918	19203
533	21967	19170
534	22007	19127
535	22048	19086
536	22089	19045
537	22129	19003
538	22169	18960
539	22208	18918
540	22247	18875
541	22286	18832
542	22342	18803
543	22384	18763
544	22424	18720
545	22463	18678
546	22504	18636
547	22543	18594
548	22583	18552
549	22621	18508
550	22675	18478
551	22716	18436
552	22756	18394
553	22798	18354
554	22837	18310
555	22877	18268
