iter	MultiClass
0	1.081263778
1	1.065075887
2	1.05010855
3	1.036245564
4	1.023016421
5	1.010681861
6	0.999212181
7	0.9885231293
8	0.9784535091
9	0.9690804888
10	0.960278115
11	0.9520634272
12	0.9443565671
13	0.9370305494
14	0.9302250311
15	0.9237226976
16	0.917677135
17	0.9118711027
18	0.906428125
19	0.9012725174
20	0.8964119052
21	0.8918909033
22	0.8875541139
23	0.8834985679
24	0.8796752471
25	0.8760595523
26	0.8725643397
27	0.8692451757
28	0.8661853956
29	0.8632296755
30	0.8604132972
31	0.8577501839
32	0.8552423689
33	0.8528725254
34	0.8505837079
35	0.8485567091
36	0.8465319689
37	0.8446901818
38	0.8428486572
39	0.8411167938
40	0.8394882102
41	0.8379067039
42	0.8366016761
43	0.8352485389
44	0.833958933
45	0.8328042867
46	0.8315912854
47	0.8304341342
48	0.8292770055
49	0.8282463459
50	0.8272843871
51	0.826488313
52	0.8255366141
53	0.8246980045
54	0.8239262789
55	0.8230753879
56	0.8223269589
57	0.8217277526
58	0.8209680713
59	0.8204416633
60	0.8198634861
61	0.8193363514
62	0.8189030157
63	0.8183618934
64	0.817890603
65	0.8173354388
66	0.8169213653
67	0.816501305
68	0.8160176097
69	0.8156826598
70	0.8153670968
71	0.8149775376
72	0.8146772604
73	0.8142957591
74	0.8139643359
75	0.8136800508
76	0.8132844755
77	0.8130938274
78	0.8128425701
79	0.8126579229
80	0.8124594153
81	0.812119032
82	0.8118257125
83	0.8115837661
84	0.8113252892
85	0.8110593237
86	0.8108273354
87	0.8107444397
88	0.8104825031
89	0.8102713968
90	0.810126779
91	0.8100162472
92	0.8096515293
93	0.8095113641
94	0.809371807
95	0.8092225606
96	0.8089618931
97	0.8087868033
98	0.8085768522
99	0.8084797493
100	0.8083244017
101	0.8081777044
102	0.8080047141
103	0.8078362575
104	0.8077451598
105	0.8075837325
106	0.8074149918
107	0.8072601806
108	0.8070501249
109	0.8070278144
110	0.8069357369
111	0.8067024835
112	0.8066236602
113	0.8065680523
114	0.8064127353
115	0.80630718
116	0.8061703237
117	0.8061321932
118	0.8059486076
119	0.8057197277
120	0.8054822823
121	0.8054191513
122	0.8053860059
123	0.8052848662
124	0.8051475981
125	0.8051048768
126	0.8049840159
127	0.8048602476
128	0.8047213364
129	0.8044675391
130	0.8043183833
131	0.8042109819
132	0.8041221584
133	0.8039597927
134	0.8038347832
135	0.8037321995
136	0.8036357676
137	0.8033795123
138	0.8033091176
139	0.8031206074
140	0.802969885
141	0.8029393981
142	0.8028858993
143	0.8028748052
144	0.8027921803
145	0.8027817504
146	0.8026367066
147	0.8026304284
148	0.8025433458
149	0.8024344632
150	0.8023765387
151	0.8022957423
