iter	Passed	Remaining
402	14782	58581
403	14818	58540
404	14861	58528
405	14897	58491
406	14934	58454
407	14971	58416
408	15009	58386
409	15045	58345
410	15081	58306
411	15116	58265
412	15153	58227
413	15190	58192
414	15233	58182
415	15270	58144
416	15306	58106
417	15405	58306
418	15447	58287
419	15529	58420
420	15584	58451
421	15635	58465
422	15684	58475
423	15724	58449
424	15807	58579
425	15844	58544
426	15880	58501
427	15915	58454
428	15949	58407
429	15982	58354
430	16016	58305
431	16053	58267
432	16089	58226
433	16123	58179
434	16156	58126
435	16191	58080
436	16227	58038
437	16262	57994
438	16299	57956
439	16334	57912
440	16369	57866
441	16408	57836
442	16445	57800
443	16482	57762
444	16518	57721
445	16554	57681
446	16597	57663
447	16632	57619
448	16666	57572
449	16702	57529
450	16736	57483
451	16772	57441
452	16807	57397
453	16843	57355
454	16877	57307
455	16912	57263
456	16947	57220
457	16982	57176
458	17017	57133
459	17053	57092
460	17089	57052
461	17126	57013
462	17160	56965
463	17195	56924
464	17231	56883
465	17267	56842
466	17301	56796
467	17336	56750
468	17370	56705
469	17407	56667
470	17443	56628
471	17481	56593
472	17519	56559
473	17554	56515
474	17592	56481
475	17628	56440
476	17670	56420
477	17706	56377
478	17743	56342
479	17779	56300
480	17815	56260
481	17851	56220
482	17893	56201
483	17929	56159
484	17964	56117
485	18014	56120
486	18049	56075
487	18082	56027
488	18117	55983
489	18151	55936
490	18185	55889
491	18221	55849
492	18267	55838
493	18302	55797
494	18337	55752
495	18369	55702
496	18402	55650
497	18434	55600
498	18469	55555
499	18504	55512
500	18539	55469
501	18573	55425
502	18608	55380
503	18643	55338
504	18681	55304
505	18716	55262
506	18753	55224
507	18788	55181
508	18822	55137
509	18858	55095
510	18892	55051
511	18926	55005
512	18961	54962
513	18996	54918
514	19031	54877
515	19066	54833
516	19100	54788
517	19134	54744
518	19167	54696
519	19202	54654
520	19236	54608
521	19273	54571
522	19308	54530
523	19343	54485
524	19377	54441
525	19412	54398
526	19445	54350
527	19478	54304
528	19513	54260
529	19548	54218
530	19582	54174
531	19618	54134
532	19675	54154
533	19716	54127
534	19758	54104
535	19798	54076
536	19854	54091
537	19942	54192
538	20015	54253
539	20054	54222
540	20097	54201
541	20137	54169
542	20209	54226
543	20249	54196
544	20289	54168
545	20329	54136
546	20367	54103
547	20409	54076
548	20446	54040
549	20484	54003
550	20522	53970
551	20563	53940
552	20599	53901
553	20637	53866
554	20674	53828
555	20710	53788
556	20749	53755
557	20786	53718
558	20823	53680
559	20869	53665
560	20910	53637
561	20956	53621
562	21009	53624
563	21055	53610
564	21107	53608
565	21145	53574
566	21190	53555
567	21235	53537
568	21272	53497
569	21309	53461
570	21347	53424
571	21384	53387
572	21420	53344
573	21456	53305
574	21492	53264
575	21528	53222
576	21564	53182
577	21599	53138
578	21636	53100
579	21672	53059
580	21709	53021
581	21745	52982
582	21781	52940
583	21819	52903
584	21855	52863
585	21893	52829
586	21929	52787
587	21982	52787
588	22018	52746
589	22055	52709
590	22106	52704
591	22143	52666
592	22179	52625
593	22217	52589
594	22253	52548
595	22290	52510
596	22326	52468
597	22362	52429
598	22399	52389
599	22435	52349
600	22470	52307
601	22507	52267
602	22540	52219
603	22573	52172
604	22608	52130
605	22645	52091
606	22681	52051
607	22716	52008
608	22754	51973
609	22790	51932
610	22826	51892
611	22877	51885
612	22915	51849
613	22968	51847
614	23004	51806
615	23041	51767
616	23083	51742
617	23128	51719
618	23179	51712
619	23215	51674
620	23251	51633
621	23290	51598
622	23326	51557
623	23362	51516
624	23398	51475
625	23433	51433
626	23468	51391
627	23505	51352
628	23541	51311
629	23576	51270
630	23614	51232
631	23662	51219
632	23700	51182
633	23799	51276
634	23836	51238
635	23874	51202
636	23926	51194
637	23966	51164
638	24006	51131
639	24048	51102
640	24089	51073
641	24131	51043
642	24169	51007
643	24206	50968
644	24242	50927
645	24279	50889
646	24315	50848
647	24351	50807
648	24388	50768
649	24424	50727
650	24458	50682
651	24493	50640
652	24528	50596
653	24560	50548
654	24594	50503
655	24628	50458
656	24662	50413
657	24696	50369
658	24738	50339
659	24771	50294
660	24808	50254
661	24852	50230
662	24887	50188
663	24923	50146
664	24959	50107
665	24997	50070
666	25034	50031
